id,name,ingredients,allergenRaw,allergensmapped,link
189, AriZona blueberry white tea ," water, fruit juice from concentrates  pear , blueberry , sugar, honey , acidifier citric acid and malic acid, natural flavoring, white tea extract , antioxidant ascorbic acid, coloring foods carrot and blueberry concentrate, sweetener steviol glycosides from stevia", none,no allergens detected, https://world.openfoodfacts.org/product/0613008766061/arizona-blueberry-white-tea
190, Ice Tea Saveur Pêche Lipton," water, acidifiers citric acid, malic acid, black tea extract , peach juice from concentrate , flavorings, acidity regulator trisodium citrate, sweeteners acesulfamek, sucralose, antioxidant ascorbic acid", none,no allergens detected, https://world.openfoodfacts.org/product/3168930170570/ice-tea-saveur-peche-lipton
191, Thé Earl Grey coffret Twinings," black tea, bergamot flavoring ", none,no allergens detected, https://world.openfoodfacts.org/product/5055953902494/the-earl-grey-coffret-twinings
192, Apple & Elderflower Organic Kombucha Hip Pop," water, cane sugar, green tea, black tea, kombucha culture, apple juice, elderflower extract living cultures bacillus coagulants", none,no allergens detected, https://world.openfoodfacts.org/product/5060512670943/apple-elderflower-organic-kombucha-hip-pop
193, Organic Detox Tea Bags Clipper," hibiscus , nettle , licorice root , natural flavorings, aloe vera extracts  ingredients from organic farming", none,no allergens detected, https://world.openfoodfacts.org/product/5021991888168/organic-detox-tea-bags-clipper
194, Healthy Energy Apple Raspberry Perfect ted," sparkling water, apple juice from concentrate, raspberry juice, organic ceremonial grade matcha, green tea extract, natural flavouring", none,no allergens detected, https://world.openfoodfacts.org/product/5070000222417/healthy-energy-apple-raspberry-perfect-ted
195, Lipton Ice Tea saveur framboise," water, sugar, acidifier citric acid, black tea extract , raspberry juice from concentrate , flavorings, acidity regulator trisodium citrate, antioxidant ascorbic acid, sweetener steviol glycosides from stevia", none,no allergens detected, https://world.openfoodfacts.org/product/3502110010674/lipton-ice-tea-saveur-framboise
196, Twinings Ginger," ginger root , liquorice root , cinnamon , cloves ", none,no allergens detected, https://world.openfoodfacts.org/product/0070177198435/twinings-ginger-20-s-35g
197, Confiture d'abricot Delicia," apricots, sugar, citric acid", none,no allergens detected, https://world.openfoodfacts.org/product/6111162000716/confiture-d-abricot-delicia
198, Tomato Ketchup Heinz," tomatoes, spirit vinegar, sugar, salt, spice and herb extracts celery, spice", celery,no allergens detected, https://world.openfoodfacts.org/product/50457250/tomato-ketchup-heinz
199, Runny Honey imp Rowse, honey, none,no allergens detected, https://world.openfoodfacts.org/product/5011273040698/runny-honey-imp-rowse
200, Red Bull," water, sucrose, glucose, acidulant citric acid, carbon dioxide, taurine ,, acidity correctors sodium carbonates, magnesium carbonates, caffeine ,, vitamins niacin, pantothenic acid, b, b, aromas, colorants natural caramel, riboflavins", none,no allergens detected, https://world.openfoodfacts.org/product/9002490100070/red-bull
